Kamala Harris,"'Kamala Harris',"
Grant Short,"'Grant Short',"
Jeff Kender,"'Jeff Kender',"
Rory Houlihan,"'Rory Houlihan',"
John Kennedy,"'John Kennedy',"
Foster Campbell,"'Foster Campbell',"
Chris Van Hollen,"'Chris Van Hollen',"
Donna Edwards,"'Donna Edwards',"
Freddie Dickson,"'Freddie Dickson',"
Theresa Scaldaferri,"'Theresa Scaldaferri',"
Violet Staley,"'Violet Staley',"
Lih Young,"'Lih Young',"
Charles Smith,"'Charles Smith',"
Ralph Jaffe,"'Ralph Jaffe',"
Blaine Taylor,"'Blaine Taylor',"
Ed Tinus,"'Ed Tinus',"
Kathy Szeliga,"'Kathy Szeliga',"
Chris Chaffee,"'Chris Chaffee',"
Chrys Kefalas,"'Chrys Kefalas',"
Richard Douglas,"'Richard Douglas',"
Dave Wallace,"'Dave Wallace',"
Sean Connor,"'Sean Connor',"
Lynn Richardson,"'Lynn Richardson',"
John Graziani,"'John Graziani',"
Greg Holmes,"'Greg Holmes',"
Mark McNicholas,"'Mark McNicholas',"
Joe Hooe,"'Joe Hooe',"
Anthony Seda,"'Anthony Seda',"
Richard Shawver,"'Richard Shawver',"
Garry Yarrington,"'Garry Yarrington',"
Margaret Flowers,"'Margaret Flowers',"
Roy Blunt,"'Roy Blunt',"
Kristi Nichols,"'Kristi Nichols',"
Ryan Luethy,"'Ryan Luethy',"
Bernie Mowinski,"'Bernie Mowinski',"
Jason Kander,"'Jason Kander',"
Cori Bush,"'Cori Bush',"
Chief Wana Dubie,"'Chief Wana Dubie',"
Robert Mack,"'Robert Mack',"
Jonathan Dine,"'Jonathan Dine',"
Herschel Young,"'Herschel Young',"
Fred Ryman,"'Fred Ryman',"
Catherine Cortez Masto ,"'Catherine Cortez Masto ',"
Allen Rheinhart ,"'Allen Rheinhart ',"
Liddo Susan O'Briant ,"'Liddo Susan O'Briant ',"
Bobby Mahendra ,"'Bobby Mahendra ',"
Joe Heck,"'Joe Heck',"
Sharron Angle,"'Sharron Angle',"
Thomas Heck,"'Thomas Heck',"
Eddie Hamilton,"'Eddie Hamilton',"
D'Nese Davis,"'D'Nese Davis',"
Bill Tarbell,"'Bill Tarbell',"
Robert Leeds,"'Robert Leeds',"
Juston Preble,"'Juston Preble',"
Carlo Poliak,"'Carlo Poliak',"
Kelly Ayotte,"'Kelly Ayotte',"
Jim Rubens,"'Jim Rubens',"
Tom Alciere,"'Tom Alciere',"
Gerald Beloin,"'Gerald Beloin',"
Stanley Emanuel,"'Stanley Emanuel',"
Maggie Hassan,"'Maggie Hassan',"
Chuck Schumer,"'Chuck Schumer',"
Wendy Long,"'Wendy Long',"
Robin Laverne Wilson,"'Robin Laverne Wilson',"
Alex Merced,"'Alex Merced',"
Richard Burr,"'Richard Burr',"
Greg Brannon,"'Greg Brannon',"
Paul Wright,"'Paul Wright',"
Larry Holmquist,"'Larry Holmquist',"
Deborah Ross,"'Deborah Ross',"
Chris Rey,"'Chris Rey',"
Kevin Griffin,"'Kevin Griffin',"
Ernest Reeves,"'Ernest Reeves',"
John Hoeven,"'John Hoeven',"
Eliot Glassheim,"'Eliot Glassheim',"
Robert Marquette,"'Robert Marquette',"
Rob Portman,"'Rob Portman',"
Don Elijah Eckhart,"'Don Elijah Eckhart',"
Ted Strickland,"'Ted Strickland',"
P.G. Sittenfeld,"'P.G. Sittenfeld',"
Kelli Prather,"'Kelli Prather',"
Joe DeMare,"'Joe DeMare',"
Robert Murphy,"'Robert Murphy',"
Dax Ewbank,"'Dax Ewbank',"
Ron Wyden,"'Ron Wyden',"
Kevin Stine,"'Kevin Stine',"
Paul Weaver,"'Paul Weaver',"
Mark Callahan,"'Mark Callahan',"
Sam Carpenter,"'Sam Carpenter',"
Faye Stewart,"'Faye Stewart',"
Dan Laschober,"'Dan Laschober',"
Steven Reynolds,"'Steven Reynolds',"
Marvin Sandnes,"'Marvin Sandnes',"
Pat Toomey,"'Pat Toomey',"
Katie McGinty,"'Katie McGinty',"
Joe Sestak,"'Joe Sestak',"
John Fetterman,"'John Fetterman',"
Joseph Vodvarka,"'Joseph Vodvarka',"
Misty K. Snow,"'Misty K. Snow',"
Jonathan Swinton,"'Jonathan Swinton',"
Patrick Leahy,"'Patrick Leahy',"
Cris Ericson,"'Cris Ericson',"
Patty Murray,"'Patty Murray',"
Chris Vance,"'Chris Vance',"
Eric John Markus,"'Eric John Markus',"
Phil Cornell,"'Phil Cornell',"
Scott Nazarino,"'Scott Nazarino',"
Mike Luke,"'Mike Luke',"
Mohammad Said,"'Mohammad Said',"
Donna Rae,"'Donna Rae',"
Ted Cummings,"'Ted Cummings',"
Sam Wright,"'Sam Wright',"
Uncle Mover,"'Uncle Mover',"
Jeremy Teuton,"'Jeremy Teuton',"
Thor Amundson,"'Thor Amundson',"
Chuck Jackson,"'Chuck Jackson',"
Pano Churchill,"'Pano Churchill',"
Zach Haller,"'Zach Haller',"
Alex Tsimerman,"'Alex Tsimerman',"
Russ Feingold,"'Russ Feingold',"
Scott Harbach,"'Scott Harbach',"
