,0,1,2
21,Thomas Lamb,Lamb Air,"Lamb Air Ltd. was an airline that began operations in 1934 in The Pas, Manitoba, Canada and went out of business in 1981."
22,Thomas Lamb,Design Exchange,Design Exchange is a not-for-profit museum funded by its members and donors. DX is Canada’s only museum dedicated exclusively to the pursuit of design excellence and preservation of design heritage. 
23,Thomas Lamb,Oregon Steam Navigation Company,"The Oregon Steam Navigation Company was an American company incorporated in 1860 in Washington with partners J. S. Ruckle, Henry Olmstead, and J. O. Van Bergen. It was incorporated in Washington because of a lack of corporate laws in Oregon, though it paid Oregon taxes.
"
24,Edgar Blatchford,"Alaska Newspapers, Inc.","Alaska Newspapers, Inc. was, until August 2011, the publisher of six weekly Alaska newspapers, a quarterly magazine, and several special publications including a shopper, visitor's guides, and programs.
"
25,John McCain,Columbia University,"Columbia University, established in 1754, is a private Ivy League research university in Upper Manhattan, New York City. Columbia contains the oldest college in the state of New York and is the fifth chartered institution of higher learning in the United States, making it one of nine colonial colleges founded prior to the Declaration of Independence. "
26,John McCain,McCain Institute,"The McCain Institute for International Leadership is a Washington, D.C.-based think tank in cooperation with Arizona State University whose mission is to ""advance leadership based on security, economic opportunity, freedom, and human dignity, in the United States and around the world."" "
27,John McCain,Crosslink Strategy,"Crosslink Strategy is a conservative lobbying and political consulting firm founded in 2005 by Terry Nelson, a Republican political strategist formerly serving as a senior advisor to Senator John McCain.
"
28,Ann Kirkpatrick,James E. Rogers College of Law,"James E. Rogers College of Law is the law school at the University of Arizona located in Tucson, Arizona and was the first law school founded in the State of Arizona, opening its doors in 1915. "
29,Ann Kirkpatrick,The Fellowship,"The Fellowship, also known as The Family, and the International Foundation is a U.S.-based religious and political organization founded in 1935 by Abraham Vereide. "
30,Alex Bello,"King's College, Lagos","King's College, Lagos is a secondary school in Lagos, Lagos State, Nigeria. It was founded on 20 September 1909 with 10 students on its original site at Lagos Island, adjacent to Tafawa Balewa Square. "
31,John Boozman,Southern College of Optometry,"Southern College of Optometry is a college of optometry in the United States. It is located in Memphis, Tennessee and is dedicated to the study of optometry, the field of medicine that includes not only the performance of refractive eye examinations and the fitting of necessary corrective lenses or vision therapy, but also the diagnosis and treatment of numerous ocular diseases. "
32,John Boozman,United States Association of Former Members of Congress,"The United States Association of Former Members of Congress is a non-partisan, non-profit organization of over 500 former Members of the United States Congress."
33,John Boozman,University of Arkansas,"The University of Arkansas is a public land-grant, doctoral research university located in Fayetteville, Arkansas. It is the flagship campus of the University of Arkansas System and the largest, best-known university in the state. "
34,Curtis Coleman,Richard Montgomery High School,"Richard Montgomery High School is a secondary public school located in Rockville, Maryland, United States."
35,Darryl Glenn,Stand Up! Records,"Stand Up! Records is an American independent comedy record label founded in Minneapolis, Minnesota, by former -ismist Recordings label head Dan Schlissel. "
36,Jack Graham,Prestonwood Baptist Church,"Prestonwood Baptist Church, in Plano, Texas, is one of the largest and fastest-growing megachurches in North America according to a 2012 Outreach Magazine survey. "
37,Jack Graham,Belgrave Football Club,"Belgrave Football Club, nicknamed The Magpies, compete in the Yarra Valley Mountain District Football League. Belgrave has competed in the YVMDFL since 1966 where it was a founder member. "
38,Ryan Frazier,Regis University,"Regis University, formerly known as Regis College, is a private, co-educational Roman Catholic, Jesuit university in Denver, Colorado. Regis College was founded by the Society of Jesus in 1877. It is one of 28 member institutions of the Association of Jesuit Colleges and Universities. "
39,Richard Blumenthal,Best Buy,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota. It was originally founded by Richard M. Schulze and James Wheeler in 1966 as an audio specialty store called Sound of Music. "
40,Richard Blumenthal,Kuwait Airways,"Kuwait Airways is the national carrier of Kuwait, with its head office on the grounds of Kuwait International Airport, Al Farwaniyah Governorate. "
41,Dan Carter,Kobelco Steelers,"Kobe Steel Rugby Club – commonly known as the Kobelco Steelers – are a Japanese rugby union team owned by Kobe Steel, and based in Kobe. They were the first ever Top League champions when the League started in the 2003-4 season. The team plays its home games at Noevir Stadium Kobe."
42,Dan Carter,Ellesmere College,"Ellesmere College is a co-educational high school, located in Leeston in the Canterbury Region of New Zealand, with more than 500 students ranging from ages eleven to seventeen. "
43,Dan Carter,Crusaders,"The Crusaders are a New Zealand professional rugby union team based in Christchurch, who compete in the Super Rugby competition. They have won 9 titles.
"
44,Jeffery Russell,Anglican Church Grammar School,"The Anglican Church Grammar School, formally the Church of England Grammar School but commonly referred to as Churchie, is an independent, Anglican, day and boarding school for boys, located in East Brisbane, an inner suburb of Brisbane, Queensland, Australia.
"
45,Marco Rubio,Better for America,Better for America is a 501 non-profit organization that was dedicated to getting nationwide ballot access for an independent candidate for President of the United States in the 2016 election. 
46,Marco Rubio,Freedom Partners,"Freedom Partners is a nonprofit 501 organization headquartered in Arlington, Virginia. The organization, which was founded in 2011 under the name Association for American Innovation, is purposed to promote ""the benefits of free markets and a free society."" "
47,Dwight Young,New York Mets,The New York Mets are an American professional baseball team based in the New York City borough of Queens. The Mets compete in Major League Baseball as a member club of the National League East division. 
48,Patrick Murphy,Bucks County Community College,"Bucks County Community College is a two-year community college located in Bucks County, Pennsylvania, near Philadelphia. Founded in 1964, Bucks has three campuses and online courses: a main campus in Newtown, an ""Upper County"" campus in the town of Perkasie, and a ""Lower County"" campus in the town of Bristol. "
49,Patrick Murphy,Palmer Trinity School,"Palmer Trinity School is an independent, college preparatory, coeducational Episcopal day school located on 55 acres in Palmetto Bay, Florida. The school currently enrolls more than 770 students in grades 6-12.
Palmer Trinity is the only Episcopal Middle and Upper School in Miami-Dade County. "
50,Patrick Murphy,Archbishop Ryan High School,"Archbishop Ryan High School is a Roman Catholic high school located in Philadelphia, Pennsylvania, USA. The school is named after Patrick John Ryan, Archbishop of Philadelphia from 1894 to 1911.
"
51,Rocky De La Fuente ,Better for America,Better for America is a 501 non-profit organization that was dedicated to getting nationwide ballot access for an independent candidate for President of the United States in the 2016 election. 
52,Johnny Isakson,Afterschool Alliance,"The Afterschool Alliance is a nonpartisan, nonprofit organization in the United States whose mission is ""to ensure that all children have access to affordable, quality afterschool programs."" "
53,Johnny Isakson,No Labels,"No Labels is an American political organization that says that its mission is to combat partisan dysfunction in politics and ""usher in a new era of focused problem solving in American politics"". "
54,Mary Kay,Mary Kay,"Mary Kay Inc. is an American privately owned multi-level marketing company. According to Direct Selling News, Mary Kay was the sixth largest network marketing company in the world in 2015, with a wholesale volume of US$3.7 billion. "
55,Mary Kay,Bumble and bumble,"Bumble and bumble Products, LLC is one of 27 brands owned by Estée Lauder Companies, Inc. It was founded as a New York City hair salon in 1977 by hairdresser and entrepreneur Michael Gordon. "
56,Mary Kay,Wounded Bird Records,"Wounded Bird Records is a compact disc only, re-issue record label, that was founded in 1998 in Guilderland, New York.
They re-release lesser known albums from popular and lesser known artists, including Debbie Harry, Rick Springfield, Chic, Don Ellis, David Blue, Marilyn Martin, Gordon Haskell, Jon Anderson, Adrian Belew, Ellen Foley, Argent, Blood, Sweat &amp; Tears, and Sparks. "
57,Jim Barksdale,Sally McDonnell Barksdale Honors College,"The Sally McDonnell Barksdale Honors College is the honors program at the University of Mississippi in the United States. Founded in 1997 through an endowment from Jim and Sally Barksdale, the college boasts the rich education of a private liberal-arts school at the cost of a public university. "
58,Jim Barksdale,Spread Networks,"Spread Networks is a company founded by Dan Spivey and backed by James L. Barksdale that claims to offer Internet connectivity between Chicago and New York City at ultra-low latency, high bandwidth, and high reliability, using dark fiber. "
59,Jim Barksdale,HomeGrocer,"HomeGrocer.com, Inc. was one of the first online supermarket businesses, started in 1997 by Terry Drayton, Mike Donald, James Fierro and Ken Deering. "
60,John Coyne,Brisbane City FC,"Brisbane City Football Club is a football club based in Newmarket, Brisbane, Queensland. The club was formed in 1952, and currently play in NPL Queensland. "
61,John Coyne,Boston Minutemen,"The Boston Minutemen were a soccer team based out of Boston that played in the NASL. They played from 1974 to 1976. Their home fields included Alumni Stadium in Chestnut Hill, Schaefer Stadium in Foxborough, Veterans Memorial Stadium in Quincy and Sargent Field in New Bedford.
"
62,John Coyne,Swinton Lions,"The Swinton Lions are an English professional rugby league club from Swinton, Greater Manchester, who compete in the Championship, the second tier of European rugby league. The club has won the Championship six times and three Challenge Cups. Before 1996, the club was known simply as Swinton R.L.F.C."
63,Brian Schatz,Pomona College,"Pomona College is a private, nonsectarian, coeducational, liberal arts college in Claremont, California, United States. It was founded in 1887 by a group of Congregationalists who wanted to recreate a ""college of the New England type"" on the West Coast. "
64,Brian Schatz,Punahou School,"Punahou School is a private, co-educational, college preparatory school located in Honolulu CDP, City and County of Honolulu in the U.S. State of Hawaii. 3,742 students attend the school from kindergarten through the twelfth grade.
Founded in 1841, the school has a rich history and a wide variety of programs. The school's most famous alumnus, Barack Obama, graduated in 1979.
Along with academics and athletics, Punahou offers visual and performing arts programs. In 2006, Punahou School was ranked as the greenest school in America. The student body is diverse, with student selection based on both academic and non-academic considerations. In 2008 and 2009, Punahou's sports program was ranked best in the country by Sports Illustrated. In 2017, Punahou's sports program is ranked number two in the nation in the MaxPreps Cup."
65,Arturo Reyes,Patriotas Boyacá,"Patriotas Fútbol Club, also known as Patriotas Boyacá, is a professional Colombian football team based in Tunja, that currently plays in the Categoría Primera A. They play their home games at the La Independencia stadium."
66,Arturo Reyes,Colombia national under-20 football team,"The Colombia national under-20 football team represents Colombia in international under-20 football competitions and is overseen by the Colombian Football Federation.
"
67,Arturo Reyes,Colombia national football team,"The Colombia national football team represents Colombia in international football competitions and is overseen by the Colombian Football Federation. It is a member of the CONMEBOL and is currently ranked 16th in the FIFA World Rankings. The team are nicknamed Los Cafeteros due to the coffee production in their country.
Since the mid-1980s, the national team has been a symbol fighting the country's negative reputation. "
68,Mike Crapo,Harvard Law School,"Harvard Law School is one of the professional graduate schools of Harvard University located in Cambridge, Massachusetts. Founded in 1817, it is the oldest continuously operating law school in the United States and one of the most prestigious in the world. "
69,Mike Crapo,Brigham Young University,"Brigham Young University is a private, non-profit research university in Provo, Utah, United States completely owned by The Church of Jesus Christ of Latter-day Saints and run under the auspices of its Church Educational System. "
70,Mike Crapo,Idaho Falls High School,"Idaho Falls High School is a four-year public secondary school in central Idaho Falls, Idaho. The current building opened in 1952, though the school itself has been in operation for well over a century. "
71,Mark Kirk,Blackburn College,"Blackburn College is a private liberal arts college in Carlinville, Illinois. It was established in 1837 and named for the Rev. Gideon Blackburn.
"
72,Mark Kirk,Billy Goat Tavern,"The Billy Goat Tavern is a chain of taverns located in Chicago, Illinois. Its restaurants are based on the original Billy Goat Tavern founded in 1934 by Billy Sianis, a Greek immigrant. "
73,Mark Kirk,Turning Point USA,"Turning Point USA is an American conservative, nonprofit organization whose stated mission is ""to educate students about true free market values."" It was founded in 2012 by conservative activist Charlie Kirk. Its website says it has more than 350 chapters.
"
74,Tammy Duckworth,University of Hawaii,"The University of Hawaiʻi system is a public, co-educational college and university system that confers associate, bachelor's, master's, and doctoral degrees through three university campuses, seven community college campuses, an employment training center, three university centers, four education centers and various other research facilities distributed across six islands throughout the State of Hawaii in the United States. "
75,Tammy Duckworth,Elliott School of International Affairs,"The Elliott School of International Affairs is the professional school of international relations, foreign policy, and international development of the George Washington University, in Washington, D.C. "
76,Tammy Duckworth,International School Bangkok,"The International School Bangkok is a private PK-12 American-style school in the Pak Kret District of Nonthaburi Province, Thailand in the Bangkok Metropolitan Area. It is accredited by the Western Association of Schools and Colleges in the USA."
77,Napoleon Harris,Northwestern Wildcats football,"The Northwestern Wildcats football team, representing Northwestern University, is an NCAA Division I college football team and member of the Big Ten Conference, with evidence of organization in 1876. "
78,Napoleon Harris,Minnesota Vikings,"The Minnesota Vikings are a professional American football team based in Minneapolis, Minnesota. The Vikings joined the National Football League as an expansion team in 1960, and first took the field for the 1961 season. "
79,Todd Young ,Carmel High School,"Carmel High School is a public high school in Carmel, Indiana, United States. The high school is part of the Carmel Clay Township School District|Carmel Clay School District and has an enrollment of almost 5,000 students, making it the largest high school in the state by number of students."
80,Todd Young ,Federalist Society,"The Federalist Society for Law and Public Policy Studies, most frequently called the Federalist Society, is an organization of conservatives and libertarians seeking reform of the current Law of the United States in accordance with a textualist or originalist interpretation of the U.S. "
81,Marlin Stutzman ,Club for Growth,"The Club for Growth is a 501 conservative organization active in the United States, with an agenda focused on cutting taxes and other economic issues. "
82,Baron Hill ,Highgate School,"Highgate School, formally Sir Roger Cholmeley's School at Highgate, is a British coeducational independent school, founded in 1565 in Highgate, London, England. "
83,Baron Hill ,Barts and The London School of Medicine and Dentistry,"Barts and The London School of Medicine and Dentistry is a medical and dental school in London, England. The school was formed in 1995 by the merger of the London Hospital Medical College and the Medical College of St Bartholomew's Hospital.
"
84,Baron Hill ,St Olave's Grammar School,"St Olave's and St Saviour's Grammar School is a boys selective secondary school in Orpington, Greater London, England. The school is also known as St Olave's Grammar School, or simply St Olave's. It has admitted girls to its sixth form since 1998.
"
85,Chuck Grassley,Aspen Dental,"Aspen Dental Management, Inc. is a dental support organization — a dental practice management corporation that provides business support and administrative services in the US. Its headquarters is in DeWitt, New York, East Syracuse.
"
86,Chuck Grassley,Alliant Energy,"Alliant Energy Corporation is a public utility holding company that incorporated in Madison, Wisconsin in 1981. It consists of four subsidiaries:
"
87,Chuck Grassley,University of Northern Iowa,"The University of Northern Iowa is a university located in Cedar Falls, Iowa, United States. UNI offers more than 90 majors across the colleges of Business Administration, Education, Humanities, Arts, and Sciences, and Social and Behavioral sciences, and graduate college.
"
88,Rob Hogg,Iowa City High School,"Iowa City High School is a public high school in Iowa City, Iowa. The present high school was completed as part of the Public Works Projects started by President Franklin D. Roosevelt to provide jobs. The first classes were held in the fall of 1939.
"
89,Rob Hogg,The Climate Mobilization,"The Climate Mobilization is a grassroots environmental advocacy group working toward large-scale political action against global warming, with the belief that the crisis of climate change requires a national economic effort on the scale of the American mobilization of the home front during World War II.
"
90,Bob Krause,New York Renaissance,"The New York Renaissance, also known as the Renaissance Big Five and as the Rens, was an all-black professional basketball team established February 13, 1923, by Robert ""Bob"" Douglas in agreement with the Renaissance Casino and Ballroom. "
91,Bob Krause,Naismith Memorial Basketball Hall of Fame,"The Naismith Memorial Basketball Hall of Fame is an American history museum and hall of fame, located at 1000 Hall of Fame Avenue in Springfield, Massachusetts. "
92,Jerry Moran,Stinson Leonard Street,"Stinson Morrison Hecker was a Kansas City, Missouri-based law firm. On January 1, 2014, the firm completed its merger with Minneapolis, Minn.-based Leonard Street Deinard LLP, creating Stinson Leonard Street LLP, a law firm with offices in 14 cities and more than 520 attorneys.
"
93,Jerry Moran,National Teachers Hall of Fame,"The National Teachers Hall of Fame is a non-profit organization that honors exceptional school teachers. It was founded in 1989 by Emporia State University, the ESU Alumni Association, the City of Emporia, Emporia Public Schools, and the Emporia Area Chamber of Commerce. "
94,Rand Paul,Better for America,Better for America is a 501 non-profit organization that was dedicated to getting nationwide ballot access for an independent candidate for President of the United States in the 2016 election. 
95,Rand Paul,Mic,"Mic is an American internet and media company based in New York City that caters to millennials. Originally known as PolicyMic, it rose to prominence after its on the ground coverage of the Tunisian Revolution. "
96,Rand Paul,Goldwater Institute,"The Goldwater Institute is a conservative and libertarian public policy think tank located in Phoenix, Arizona whose stated mission is ""to defend and strengthen the freedom guaranteed to all Americans in the constitutions of the United States and all fifty states"". "
97,James Gould,Augusta Law School,"Augusta Law School was a law school in Augusta, Georgia which operated from 1833 to 1854. It was the first law school Georgia and in the Deep South. "
98,James Gould,Litchfield Law School,"The Litchfield Law School of Litchfield, Connecticut was the first law school in the United States, having been established in 1773 by Tapping Reeve, who would later became the Chief Justice of the Connecticut Supreme Court. "
99,James Gould,Fawcett Publications,"Fawcett Publications was an American publishing company founded in 1919 in Robbinsdale, Minnesota by Wilford Hamilton ""Captain Billy"" Fawcett. "
100,Jim Gray,Gray Construction,"Gray Construction is an American construction contractor based in Lexington, Kentucky. It was founded in 1960 by James Norris Gray and Lois Howard Gray in their hometown of Glasgow, Kentucky.
Gray's son, James P. "
101,Jim Gray,CBS Sports,"CBS Sports is the sports division of the American television network CBS. Its headquarters are in the CBS Building on West 52nd Street in midtown Manhattan, New York City, with programs produced out of Studio 43 at the CBS Broadcast Center on West 57th Street.
"
102,Jim Gray,NBC Sports,"NBC Sports is the programming division of the American broadcast network NBC, owned by the NBCUniversal Television Group division of NBCUniversal, that is responsible for sports broadcasts on the network, and its dedicated national sports cable channels. "
103,John Kennedy,John Kennedy College,"John Kennedy College is a boys school in Beau-Bassin, Mauritius. It is one of the largest secondary schools in Mauritius. It was founded in 1963 and inaugurated by the then Governor General Sir John Shaw Rennie. "
104,John Kennedy,John F. Kennedy Presidential Library and Museum,"The John F. Kennedy Presidential Library and Museum is the presidential library and museum of John Fitzgerald Kennedy, the 35th President of the United States. "
105,Foster Campbell,National Midget Auto Racing Hall of Fame,"The National Midget Auto Racing Hall of Fame is a Hall of Fame and museum for midget cars. The Hall of Fame is located at Angell Park Speedway in Sun Prairie, Wisconsin, and can be accessed during weekly Sunday races during the summer. "
106,Foster Campbell,Louisiana Political Museum and Hall of Fame,"The Louisiana Political Museum and Hall of Fame in located in Winnfield, Winn Parish, in the U.S. state of Louisiana. It was created in 1987 by an act of the Louisiana State Legislature to highlight the careers of the state's leading politicians and political journalists. "
107,Foster Campbell,St Francis L.F.C.,"St Francis Ladies Football Club is an Irish association football club based in Baldonnel, Dublin. It is the women's section of St Francis F.C.. They have entered teams in both the FAI Women's Cup and the Dublin Women's Soccer League. They also represented the Republic of Ireland in the 2009–10 and 2010–11 UEFA Women's Champions Leagues."
108,Chris Van Hollen,Arent Fox,"Arent Fox LLP is a law firm and lobbying group based in Washington, D.C.. The firm also has offices in New York City, San Francisco, and Los Angeles. "
109,Chris Van Hollen,Middlesex School,"Middlesex School is a coeducational, non-sectarian, day and boarding independent secondary school for grades 9-12 located in Concord, Massachusetts. "
110,Donna Edwards,University of New Hampshire School of Law,"The University of New Hampshire School of Law is an American Bar Association–accredited law school located in Concord, New Hampshire, United States. It is the only law school in the state and was founded in 1973 by Robert H. "
111,Donna Edwards,Public Citizen,"Public Citizen is a non-profit, liberal / progressive consumer rights advocacy group and think tank based in Washington, D.C., United States, with a branch in Austin, Texas."
112,Donna Edwards,National Iranian American Council,"The National Iranian American Council is a Washington, D.C.-based non-profit organization. Trita Parsi is one of the founders and the organization's current president. "
113,Charles Smith,Morgan Stanley Wealth Management,Morgan Stanley Wealth Management is an American multinational financial services corporation specializing in retail brokerage. It is the wealth &amp; asset management division of Morgan Stanley. 
114,Charles Smith,Archstone,"Archstone was a real estate investment trust that invested in apartments. In 2007, the company was acquired by Tishman Speyer and Lehman Brothers and, in 2013, the company's assets were acquired by Equity Residential and AvalonBay Communities.
"
115,Blaine Taylor,Montana Grizzlies men's basketball,The Montana Grizzlies basketball team represents the University of Montana in men's college basketball. They compete at the NCAA Division I level and are members of the Big Sky Conference. 
116,Richard Douglas,Reed College,"Reed College is an independent liberal arts college in southeast Portland in the U.S. state of Oregon. Founded in 1908, Reed is a residential college with a campus in Portland's Eastmoreland neighborhood, featuring architecture based on the Tudor-Gothic style, and a forested canyon nature preserve at its center.
"
117,Richard Douglas,D'Oyly Carte Opera Company,"The D'Oyly Carte Opera Company is a professional light opera company that staged Gilbert and Sullivan's Savoy operas nearly year-round in the UK and sometimes toured in Europe, North America and elsewhere, from the 1870s until 1982. "
118,Richard Douglas,Calder Cannons,"The Calder Cannons is an Australian rules football club from Melbourne, Australia. The club competes in the TAC Cup and fields squads in the Under-15s, Under-16s and Under-18s. The club was formed in 1995 after the need for two more metropolitan clubs. "
119,Dave Wallace,Los Angeles Dodgers,"The Los Angeles Dodgers are an American professional baseball team based in Los Angeles, California. The Dodgers compete in Major League Baseball as a member club of the National League West division. "
120,Dave Wallace,Arkansas State University,"Arkansas State University is a public research university and is the flagship campus of the Arkansas State University System, the state's second largest college system and second largest university by enrollment. "
121,Dave Wallace,Sacred Heart High School,"Sacred Heart High School is a private, Roman Catholic high school located in the downtown district in the city of Waterbury, Connecticut. It is in the jurisdiction of the Roman Catholic Archdiocese of Hartford."
122,Sean Connor,CAPS United F.C.,"CAPS United F.C. is a popular Zimbabwean football club based in Harare. Formed in 1973, the team rose to prominence in the late 1970s and early 1980s.Used to be nicknamed Manchester Road Boys because of their former address.Its nickname is ""Makepekepe"" or The Green Machine."
123,Sean Connor,Lafayette Swamp Cats,"Lafayette Swamp Cats were an American soccer team, founded in 2000. The team was a member of the United Soccer Leagues Premier Development League, the fourth tier of the American Soccer Pyramid, until 2004, when the team left the league and the franchise was terminated.
"
124,Sean Connor,Puget Sound Soccer Academy Rapids,"Puget Sound Soccer Academy Rapids was an American soccer team, founded in 2001. The team was a member of the Pacific Coast Soccer League, a recognized Division IV league in the American Soccer Pyramid which features teams from western Canada and the Pacific Northwest region of the United States of America, until 2009.
"
125,Lynn Richardson,Delta Sigma Theta,Delta Sigma Theta is a Greek-lettered sorority of college-educated women dedicated to public service with an emphasis on programs that target the African American community. 
126,John Graziani,Calcio Catania,"Calcio Catania is an Italian football club founded in 1908 and based in Catania, Sicily. They currently compete in Serie C, the third tier of the Italian football league system, and host home games at the Stadio Angelo Massimino.
"
127,Greg Holmes,Exeter Chiefs,"Exeter Chiefs are an English professional rugby union club based in Exeter, Devon. They play in Premiership Rugby, England's top division of rugby.
"
128,Greg Holmes,Sunnybank Rugby,"Sunnybank is an Australian rugby union club, currently competing in the Queensland Premier Rugby competition. It was established in 1969."
129,Greg Holmes,Downlands College,"Downlands College, officially named Downlands Sacred Heart College, is a private, secondary, coeducational, day and boarding school at Harlaxton in Toowoomba, Queensland, Australia. "
130,Roy Blunt,Let America Vote,Let America Vote is a political action organization founded by former Missouri Secretary of State Jason Kander in February 2017. Its mission is to end voter suppression across the country.
131,Roy Blunt,Positronic,"Positronic is a manufacturing company based in Springfield, Missouri. The company manufactures and supplies electronic connectors that are utilized in a variety of industries worldwide including military, aerospace, telecommunications, medical, industrial and test equipment among others.
"
132,Jason Kander,Let America Vote,Let America Vote is a political action organization founded by former Missouri Secretary of State Jason Kander in February 2017. Its mission is to end voter suppression across the country.
133,Jason Kander,Crooked Media,"Crooked Media is an American political media company. It was founded in 2017 by Jon Favreau, Jon Lovett and Tommy Vietor, all former top Barack Obama staffers and co-hosts, with Dan Pfeiffer, of the Keepin' it 1600 podcast.
"
134,Jason Kander,CNN,"Cable News Network is an American news-based pay television channel owned by Turner Broadcasting System, a division of AT&amp;T's WarnerMedia. CNN was founded in 1980 by American media proprietor Ted Turner as a 24-hour cable news channel. "
135,Robert Mack,Mayor Gallery,"The Mayor Gallery is an art gallery located in London. Since its foundation by Fred Mayor in 1925, it has promoted modern and contemporary art. "
136,Robert Mack,Biograph Studios,"Biograph Studios was an early film studio and laboratory complex, built in 1912 by the Biograph Company at 807 East 175th Street, in The Bronx, New York City, New York."
137,Fred Ryman,Aspen Art Museum,"Founded in 1979, the Aspen Art Museum is a non-collecting contemporary art museum located in Aspen, Colorado. AAM exhibitions include drawings, paintings, sculptures, multimedia installations and electronic media."
138,Catherine Cortez Masto ,Truckers Against Trafficking,Truckers Against Trafficking is a nonprofit organization that trains truck drivers to recognize and report instances of human trafficking. 
139,Catherine Cortez Masto ,Ed W. Clark High School,"Ed W. Clark High School, opened in 1965, is a nine-month magnet high school that is part of the Clark County School District and is located in Las Vegas, Nevada."
140,Catherine Cortez Masto ,Americans for Responsible Solutions,"Americans for Responsible Solutions was a United States non-profit organization and super PAC that supports gun control. The group's stated goal is ""to encourage elected officials to stand up for solutions to prevent gun violence and protect responsible gun ownership."" "
