State,Party,SenatorName,Votes,% Votes,Wiki?,Google?,Newapi?,DOB,Education1,Education2,Occupation1,Occupation2, #Orgs,OrgsOfInfluence?,#Events,EventsOfImportance?,WikiCareerSuccessScore,WikiGeneric,#Articles,ArticleInfluenceScore,#PostiveArticles,#NegativeArticles,#NeutralArticles
Maryland,Democratic,Chris Van Hollen,470320,,Yes,Yes,Yes,,,,,,2,,2,,,,20,,,,
Maryland,Democratic,Donna Edwards,343620,,Yes,Yes,Yes,,,,,,2,,2,,,,20,,,,
Maryland,Democratic,Freddie Dickson,14856,,No,Yes,No,,,,,,3,,3,,,,0,,,,
Maryland,Democratic,Theresa Scaldaferri,13178,,No,No,No,,,,,,0,,0,,,,0,,,,
Maryland,Democratic,Violet Staley,10244,,No,No,Yes,,,,,,0,,0,,,,1,,,,
Maryland,Democratic,Lih Young,8561,,No,No,Yes,,,,,,0,,0,,,,1,,,,
Maryland,Democratic,Charles Smith,7912,,Yes,Yes,Yes,,,,,,1,,1,,,,20,,,,
Maryland,Democratic,Ralph Jaffe,7161,,No,No,Yes,,,,,,0,,0,,,,8,,,,
Maryland,Democratic,Blaine Taylor,5932,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Maryland,Democratic,Ed Tinus,2560,,No,No,No,,,,,,0,,0,,,,0,,,,
Maryland,Republican,Kathy Szeliga,135337,,Yes,Yes,No,,,,,,3,,3,,,,0,,,,
Maryland,Republican,Chris Chaffee,52066,,No,Yes,Yes,,,,,,1,,1,,,,5,,,,
Maryland,Republican,Chrys Kefalas,36340,,No,No,No,,,,,,0,,0,,,,0,,,,
Maryland,Republican,Richard Douglas,29007,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Maryland,Republican,Dave Wallace,23226,,No,Yes,Yes,,,,,,3,,3,,,,20,,,,
Maryland,Republican,Sean Connor,21727,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Maryland,Republican,Lynn Richardson,20792,,Yes,No,Yes,,,,,,0,,0,,,,20,,,,
Maryland,Republican,John Graziani,16722,,No,No,Yes,,,,,,0,,0,,,,6,,,,
Maryland,Republican,Greg Holmes,16148,,Yes,Yes,Yes,,,,,,2,,2,,,,20,,,,
Maryland,Republican,Mark McNicholas,9988,,No,No,Yes,,,,,,0,,0,,,,6,,,,
Maryland,Republican,Joe Hooe,8282,,No,No,No,,,,,,0,,0,,,,0,,,,
Maryland,Republican,Anthony Seda,3873,,No,No,Yes,,,,,,0,,0,,,,7,,,,
Maryland,Republican,Richard Shawver,3155,,No,No,No,,,,,,0,,0,,,,0,,,,
Maryland,Republican,Garry Yarrington,2988,,No,No,No,,,,,,0,,0,,,,0,,,,
Maryland,Green,Margaret Flowers,125,,No,No,Yes,,,,,,0,,0,,,,20,,,,
Missouri,Republican,Roy Blunt,481444,,Yes,No,Yes,,,,,,0,,0,,,,20,,,,
Missouri,Republican,Kristi Nichols,134025,,No,No,Yes,,,,,,0,,0,,,,1,,,,
Missouri,Republican,Ryan Luethy,29328,,No,No,No,,,,,,0,,0,,,,0,,,,
Missouri,Republican,Bernie Mowinski,18789,,No,No,No,,,,,,0,,0,,,,0,,,,
Missouri,Democratic,Jason Kander,223492,,Yes,Yes,Yes,,,,,,2,,2,,,,20,,,,
Missouri,Democratic,Cori Bush,42453,,No,No,Yes,,,,,,0,,0,,,,7,,,,
Missouri,Democratic,Chief Wana Dubie,30432,,No,No,No,,,,,,0,,0,,,,0,,,,
Missouri,Democratic,Robert Mack,23509,,No,Yes,Yes,,,,,,1,,1,,,,20,,,,
Missouri,Libertarian,Jonathan Dine,2002,,No,Yes,Yes,,,,,,1,,1,,,,20,,,,
Missouri,Libertarian,Herschel Young,1642,,No,Yes,Yes,,,,,,1,,1,,,,20,,,,
Missouri,Constitution,Fred Ryman,545,,No,No,Yes,,,,,,0,,0,,,,1,,,,
Nevada,Democratic,Catherine Cortez Masto ,81944,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Nevada,Democratic,Allen Rheinhart ,5645,,No,No,No,,,,,,0,,0,,,,0,,,,
Nevada,Democratic,Liddo Susan O'Briant ,4834,,No,No,No,,,,,,0,,0,,,,0,,,,
Nevada,Democratic,Bobby Mahendra ,3760,,No,No,Yes,,,,,,0,,0,,,,8,,,,
Nevada,Republican,Joe Heck,74517,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Nevada,Republican,Sharron Angle,26142,,Yes,Yes,Yes,,,,,,3,,3,,,,2,,,,
Nevada,Republican,Thomas Heck,3570,,No,Yes,Yes,,,,,,2,,2,,,,20,,,,
Nevada,Republican,Eddie Hamilton,2507,,No,Yes,Yes,,,,,,2,,2,,,,20,,,,
Nevada,Republican,D'Nese Davis,1937,,No,No,No,,,,,,0,,0,,,,0,,,,
Nevada,Republican,Bill Tarbell,1179,,No,No,Yes,,,,,,0,,0,,,,2,,,,
Nevada,Republican,Robert Leeds,662,,Yes,No,Yes,,,,,,0,,0,,,,20,,,,
Nevada,Republican,Juston Preble,582,,No,No,No,,,,,,0,,0,,,,0,,,,
Nevada,Republican,Carlo Poliak,279,,No,No,No,,,,,,0,,0,,,,0,,,,
New Hampshire,Republican,Kelly Ayotte,86558,,Yes,Yes,Yes,,,,,,3,,3,,,,17,,,,
New Hampshire,Republican,Jim Rubens,19139,,Yes,Yes,Yes,,,,,,3,,3,,,,6,,,,
New Hampshire,Republican,Tom Alciere,1586,,No,Yes,No,,,,,,1,,1,,,,0,,,,
New Hampshire,Republican,Gerald Beloin,1252,,No,No,No,,,,,,0,,0,,,,0,,,,
New Hampshire,Republican,Stanley Emanuel,1187,,No,Yes,Yes,,,,,,1,,1,,,,19,,,,
New Hampshire,Democratic,Maggie Hassan,301,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
New York,Total,Chuck Schumer,5221945,,Yes,Yes,Yes,,,,,,2,,2,,,,20,,,,
New York,Total,Wendy Long,2009335,,Yes,Yes,Yes,,,,,,2,,2,,,,20,,,,
New York,Green,Robin Laverne Wilson,13413,,No,No,Yes,,,,,,0,,0,,,,1,,,,
New York,Libertarian,Alex Merced,48120,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
North Carolina,Republican,Richard Burr,622074,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
North Carolina,Republican,Greg Brannon,255030,,Yes,Yes,Yes,,,,,,3,,3,,,,4,,,,
North Carolina,Republican,Paul Wright,85944,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
North Carolina,Republican,Larry Holmquist,50010,,No,No,No,,,,,,0,,0,,,,0,,,,
North Carolina,Democratic,Deborah Ross,614414,,Yes,Yes,Yes,,,,,,1,,1,,,,20,,,,
North Carolina,Democratic,Chris Rey,162869,,No,Yes,Yes,,,,,,3,,3,,,,20,,,,
North Carolina,Democratic,Kevin Griffin,115618,,Yes,No,Yes,,,,,,0,,0,,,,20,,,,
North Carolina,Democratic,Ernest Reeves,93005,,No,No,Yes,,,,,,0,,0,,,,4,,,,
North Dakota,Republican,John Hoeven,103677,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
North Dakota,Democratic-NPL,Eliot Glassheim,17243,,Yes,Yes,No,,,,,,3,,3,,,,0,,,,
North Dakota,Libertarian,Robert Marquette,1089,,No,Yes,Yes,,,,,,2,,2,,,,20,,,,
Ohio,Republican,Rob Portman,1336686,,Yes,Yes,Yes,,,,,,2,,2,,,,20,,,,
Ohio,Republican,Don Elijah Eckhart,290268,,No,Yes,No,,,,,,2,,2,,,,0,,,,
Ohio,Democratic,Ted Strickland,742676,,Yes,Yes,Yes,,,,,,3,,3,,,,11,,,,
Ohio,Democratic,P.G. Sittenfeld,254232,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Ohio,Democratic,Kelli Prather,144945,,No,No,Yes,,,,,,0,,0,,,,1,,,,
Ohio,Green,Joe DeMare,3123,,No,No,Yes,,,,,,0,,0,,,,1,,,,
Oklahoma,Libertarian,Robert Murphy,1537,,Yes,Yes,Yes,,,,,,1,,1,,,,20,,,,
Oklahoma,Libertarian,Dax Ewbank,1073,,No,No,No,,,,,,0,,0,,,,0,,,,
Oregon,Democratic,Ron Wyden,501903,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Oregon,Democratic,Kevin Stine,78287,,No,No,Yes,,,,,,0,,0,,,,9,,,,
Oregon,Democratic,Paul Weaver,20346,,No,Yes,Yes,,,,,,3,,3,,,,20,,,,
Oregon,Republican,Mark Callahan,123473,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Oregon,Republican,Sam Carpenter,104494,,Yes,Yes,Yes,,,,,,1,,1,,,,20,,,,
Oregon,Republican,Faye Stewart,57399,,No,No,Yes,,,,,,0,,0,,,,3,,,,
Oregon,Republican,Dan Laschober,34157,,No,No,No,,,,,,0,,0,,,,0,,,,
Oregon,Independent,Steven Reynolds,10497,,No,Yes,Yes,,,,,,2,,2,,,,20,,,,
Oregon,Independent,Marvin Sandnes,4733,,No,No,No,,,,,,0,,0,,,,0,,,,
Pennsylvania,Republican,Pat Toomey,1342941,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Pennsylvania,Democratic,Katie McGinty,669774,,Yes,Yes,Yes,,,,,,2,,2,,,,2,,,,
Pennsylvania,Democratic,Joe Sestak,513221,,Yes,Yes,No,,,,,,3,,3,,,,0,,,,
Pennsylvania,Democratic,John Fetterman,307090,,Yes,Yes,Yes,,,,,,3,,3,,,,2,,,,
Pennsylvania,Democratic,Joseph Vodvarka,85837,,No,Yes,No,,,,,,1,,1,,,,0,,,,
Utah,Democratic,Misty K. Snow,28928,,No,Yes,No,,,,,,3,,3,,,,0,,,,
Utah,Democratic,Jonathan Swinton,19774,,No,Yes,Yes,,,,,,1,,1,,,,6,,,,
Vermont,Democratic,Patrick Leahy,192243,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Vermont,Democratic,Cris Ericson,7595,,Yes,Yes,Yes,,,,,,3,,3,,,,1,,,,
Washington,Democratic,Patty Murray,745421,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Washington,Republican,Chris Vance,381004,,Yes,Yes,Yes,,,,,,2,,2,,,,20,,,,
Washington,Republican,Eric John Markus,57825,,No,No,Yes,,,,,,0,,0,,,,20,,,,
Washington,Democratic,Phil Cornell,46460,,No,No,Yes,,,,,,0,,0,,,,20,,,,
Washington,Republican,Scott Nazarino,41542,,No,No,No,,,,,,0,,0,,,,0,,,,
Washington,Libertarian,Mike Luke,20988,,No,Yes,Yes,,,,,,3,,3,,,,20,,,,
Washington,Democratic,Mohammad Said,13362,,No,Yes,Yes,,,,,,3,,3,,,,20,,,,
Washington,Independent,Donna Rae,11472,,No,Yes,Yes,,,,,,2,,2,,,,20,,,,
Washington,Independent,Ted Cummings,11028,,No,No,Yes,,,,,,0,,0,,,,20,,,,
Washington,Independent,Sam Wright,10751,,Yes,Yes,Yes,,,,,,2,,2,,,,20,,,,
Washington,Republican,Uncle Mover,8569,,Yes,Yes,Yes,,,,,,1,,1,,,,5,,,,
Washington,Independent,Jeremy Teuton,7991,,No,No,No,,,,,,0,,0,,,,0,,,,
Washington,Democratic,Thor Amundson,7906,,No,No,No,,,,,,0,,0,,,,0,,,,
Washington,Independent,Chuck Jackson,6318,,Yes,Yes,Yes,,,,,,3,,3,,,,20,,,,
Washington,Independent,Pano Churchill,5150,,No,No,Yes,,,,,,0,,0,,,,11,,,,
Washington,Independent,Zach Haller,5092,,No,No,Yes,,,,,,0,,0,,,,1,,,,
Washington,Independent,Alex Tsimerman,4117,,No,No,No,,,,,,0,,0,,,,0,,,,
Wisconsin,Democratic,Russ Feingold,303282,,Yes,Yes,Yes,,,,,,1,,1,,,,20,,,,
Wisconsin,Democratic,Scott Harbach,33185,,No,No,No,,,,,,0,,0,,,,0,,,,
